|W| [unimplemented_impl]: Unimplemented sceAppMgrIsNonGameProgram import called.
[05:09:35.100] |I| [load_self]: Loaded module segment 1 @ [0x027CF000 - 0x027CF090 / 0x81001000] (size: 0x00000090) of module app0:/Media/Plugins/CommonDialog.suprx.b.suprx
[05:09:35.101] |I| [load_self]: Linking SELF app0:/Media/Plugins/CommonDialog.suprx.b.suprx...
[05:09:35.102] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x27CE368
[05:09:35.108] |I| [start_module]: Module B_CommonDialog (at "app0:/Media/Plugins/CommonDialog.suprx.b.suprx") module_start returned 0x0
[05:09:35.182] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/mono/gac/policy.2.0.System/0.0.0.0__b77a5c561934e089/policy.2.0.System.dll
[05:09:35.182] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/mono/gac/policy.2.0.System/0.0.0.0__b77a5c561934e089/policy.2.0.System.dll (target path: app0:Media/Managed/mono/gac/policy.2.0.System/0.0.0.0__b77a5c561934e089/policy.2.0.System.dll)
[05:09:35.183] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:35.589] |W| [unimplemented_impl]: Unimplemented sceMotionGetState import called.
[05:09:35.589] |W| [unimplemented_impl]: Unimplemented sceMotionGetMagnetometerState import called.
[05:09:35.611] |I| [load_self]: app0:/Media/Plugins/UnityNpToolkit.suprx: Skipping special segment 0x6FFFFF01...
[05:09:35.611] |I| [load_self]: Loaded module segment 0 @ [0x027D0000 - 0x02828640 / 0x81000000] (size: 0x00058640) of module app0:/Media/Plugins/UnityNpToolkit.suprx
[05:09:35.612] |I| [load_self]: Loaded module segment 1 @ [0x02829000 - 0x0283BACC / 0x81059000] (size: 0x00012ACC) of module app0:/Media/Plugins/UnityNpToolkit.suprx
[05:09:35.615] |I| [load_self]: Linking SELF app0:/Media/Plugins/UnityNpToolkit.suprx...
[05:09:35.615] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x281A4BC
[05:09:35.627] |I| [start_module]: Module UnityPluginToolkit (at "app0:/Media/Plugins/UnityNpToolkit.suprx") module_start returned 0x0
[05:09:35.644] |I| [load_self]: app0:/Media/Plugins/UnityNpToolkit.suprx.b.suprx: Skipping special segment 0x6FFFFF01...
[05:09:35.645] |I| [load_self]: Loaded module segment 0 @ [0x0283C000 - 0x0283F170 / 0x81000000] (size: 0x00003170) of module app0:/Media/Plugins/UnityNpToolkit.suprx.b.suprx
[05:09:35.646] |I| [load_self]: Loaded module segment 1 @ [0x02840000 - 0x02840630 / 0x81004000] (size: 0x00000630) of module app0:/Media/Plugins/UnityNpToolkit.suprx.b.suprx
[05:09:35.647] |I| [load_self]: Linking SELF app0:/Media/Plugins/UnityNpToolkit.suprx.b.suprx...
[05:09:35.648] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x283CEA8
[05:09:35.655] |I| [start_module]: Module B_UnityNpToolkit (at "app0:/Media/Plugins/UnityNpToolkit.suprx.b.suprx") module_start returned 0x0
[05:09:35.678] |E| [logging::ret_error_impl]: sceNetInit returned SCE_NET_ERROR_EBUSY (0x80410110)
[05:09:35.679] |W| [stubbed_impl]: Stubbed sceNetCtlInit import called. (Stub)
[05:09:35.680] |W| [stubbed_impl]: Stubbed sceNetCtlInetGetState import called. (state = SCE_NETCTL_STATE_CONNECTED)
[05:09:35.680] |I| [load_module]: Loading module ID: 0x4
[05:09:35.683] |I| [load_self]: sys/external/libhttp.suprx: Skipping special segment 0x6FFFFF01...
[05:09:35.684] |I| [load_self]: Loaded module segment 0 @ [0x02843000 - 0x02860150 / 0x81000000] (size: 0x0001D150) of module sys/external/libhttp.suprx
[05:09:35.685] |I| [load_self]: Loaded module segment 1 @ [0x02861000 - 0x02861640 / 0x8101E000] (size: 0x00000640) of module sys/external/libhttp.suprx
[05:09:35.686] |I| [load_self]: Linking SELF sys/external/libhttp.suprx...
[05:09:35.686] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x285EE68
[05:09:35.687] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x285BCA0
[05:09:35.687] |I| [load_module]: Module SceLibHttp (at "sys/external/libhttp.suprx") loaded
[05:09:35.688] |D| [load_module]: Running module_start of module: SceLibHttp
[05:09:35.689] |I| [load_module]: Module SceLibHttp (at "sys/external/libhttp.suprx") module_start returned 0x0
[05:09:35.698] |I| [load_self]: Loaded module segment 0 @ [0x02862000 - 0x028C8EA4 / 0x81000000] (size: 0x00066EA4) of module sys/external/libssl.suprx
[05:09:35.699] |I| [load_self]: Loaded module segment 1 @ [0x0B5CA000 - 0x0B5CF188 / 0x81067000] (size: 0x00005188) of module sys/external/libssl.suprx
[05:09:35.700] |I| [load_self]: Linking SELF sys/external/libssl.suprx...
[05:09:35.700] |D| [load_var_exports]: 	NID 0x936C8A78 (SYSLYB) at 0x28B49B0
[05:09:35.701] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x28AEC70
[05:09:35.701] |I| [load_module]: Module SceLibSsl (at "sys/external/libssl.suprx") loaded
[05:09:35.708] |W| [unimplemented_impl]: Unimplemented sceNpBasicInit import called.
[05:09:35.710] |W| [unimplemented_impl]: Unimplemented sceNpBasicRegisterHandler import called.
[05:09:35.744] |E| [logging::ret_error_impl]: sceKernelWaitLwCond returned SCE_KERNEL_ERROR_WAIT_TIMEOUT (0x80028005)
[05:09:35.745] |W| [stubbed_impl]: Stubbed sceNetCtlCheckCallback import called. (Stub)
[05:09:35.748] |W| [stubbed_impl]: Stubbed sceNpCheckCallback import called. (Stub)
[05:09:36.101] |W| [stubbed_impl]: Stubbed sceNpTrophyCreateHandle import called. (Stubbed handle with 1)
[05:09:36.156] |I| [load_self]: app0:/Media/Plugins/SavedGames.suprx: Skipping special segment 0x6FFFFF01...
[05:09:36.157] |I| [load_self]: Loaded module segment 0 @ [0x0BC31000 - 0x0BC372C4 / 0x81000000] (size: 0x000062C4) of module app0:/Media/Plugins/SavedGames.suprx
[05:09:36.157] |I| [load_self]: Loaded module segment 1 @ [0x028C9000 - 0x028C91F4 / 0x81007000] (size: 0x000001F4) of module app0:/Media/Plugins/SavedGames.suprx
[05:09:36.157] |I| [load_self]: Linking SELF app0:/Media/Plugins/SavedGames.suprx...
[05:09:36.158] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0xBC36104
[05:09:36.160] |I| [start_module]: Module SavedGameList (at "app0:/Media/Plugins/SavedGames.suprx") module_start returned 0x0
[05:09:36.163] |I| [load_self]: app0:/Media/Plugins/SavedGames.suprx.b.suprx: Skipping special segment 0x6FFFFF01...
[05:09:36.164] |I| [load_self]: Loaded module segment 0 @ [0x0314F000 - 0x0314F830 / 0x81000000] (size: 0x00000830) of module app0:/Media/Plugins/SavedGames.suprx.b.suprx
[05:09:36.166] |I| [load_self]: Loaded module segment 1 @ [0x03253000 - 0x03253090 / 0x81001000] (size: 0x00000090) of module app0:/Media/Plugins/SavedGames.suprx.b.suprx
[05:09:36.170] |I| [load_self]: Linking SELF app0:/Media/Plugins/SavedGames.suprx.b.suprx...
[05:09:36.170] |D| [load_var_exports]: 	NID 0x6C2224BA (NID_MODULE_INFO) at 0x314F368
[05:09:36.172] |I| [start_module]: Module B_SavedGames (at "app0:/Media/Plugins/SavedGames.suprx.b.suprx") module_start returned 0x0
[05:09:36.278] |W| [stubbed_impl]: Stubbed __sceAppMgrGetAppState import called. (Set to 0.)
[05:09:36.330] |W| [unimplemented_impl]: Unimplemented sceGxmSetWClampEnable import called.
[05:09:36.331] |W| [unimplemented_impl]: Unimplemented sceGxmSetWClampValue import called.
[05:09:36.339] |I| [float_to_half_init]: AVX+F16C instruction set is supported. Using fast f32 to f16 conversion
[05:09:36.348] |W| [unimplemented_impl]: Unimplemented sceCommonDialogUpdate import called.
[05:09:36.349] |C| [renderer::vulkan::PipelineCache::retrieve_shader]: Mask not implemented in the vulkan renderer!
[05:09:36.349] |I| [renderer::vulkan::PipelineCache::retrieve_shader]: Generating vulkan spv shader 3a7349a016eef77eeeca149e3bca528bc9b1f4db659b2df1af0b68d9ae083c2c
[05:09:36.350] |I| [renderer::load_shader_generic]: Generating vert.spv.txt shader 3a7349a016eef77eeeca149e3bca528bc9b1f4db659b2df1af0b68d9ae083c2c
[05:09:36.353] |D| [shader::create_parameters]: [DEFAULT  + 0] sa0 = (float4) coords
[05:09:36.356] |C| [renderer::vulkan::PipelineCache::retrieve_shader]: Mask not implemented in the vulkan renderer!
[05:09:36.357] |I| [renderer::vulkan::PipelineCache::retrieve_shader]: Generating vulkan spv shader 9f8f4953a7a8e8cd5f99b798477a08396ab9555daf6275056d51c2a90851643a
[05:09:36.358] |I| [renderer::load_shader_generic]: Generating frag.spv.txt shader 9f8f4953a7a8e8cd5f99b798477a08396ab9555daf6275056d51c2a90851643a
[05:09:36.361] |D| [shader::create_parameters]: [DEFAULT  + 0] sa0 = (float1) mask
[05:09:36.407] |I| [renderer::vulkan::PipelineCache::retrieve_shader]: Generating vulkan spv shader 6d4b9fd7f374332d8fbef73acd203e3fc3b18704ed409601518c31c9dba2ad6a
[05:09:36.408] |I| [renderer::load_shader_generic]: Generating vert.spv.txt shader 6d4b9fd7f374332d8fbef73acd203e3fc3b18704ed409601518c31c9dba2ad6a
[05:09:36.410] |D| [shader::create_parameters]: [BUFFER0  + 0] pa0 = (float4) position
[05:09:36.410] |D| [shader::create_parameters]: [DEFAULT  + 0] sa0 = (float1) depth
[05:09:36.418] |I| [renderer::vulkan::PipelineCache::retrieve_shader]: Generating vulkan spv shader 4291f996eb5f888561df422b9dabe78fcd152b55c1a7570c1459741b919fedc8
[05:09:36.418] |I| [renderer::load_shader_generic]: Generating frag.spv.txt shader 4291f996eb5f888561df422b9dabe78fcd152b55c1a7570c1459741b919fedc8
[05:09:36.420] |D| [shader::create_parameters]: [DEFAULT  + 0] sa0 = (half4) color
[05:09:36.438] |C| [renderer::vulkan::PipelineCache::retrieve_shader]: Mask not implemented in the vulkan renderer!
[05:09:36.438] |C| [renderer::vulkan::PipelineCache::retrieve_shader]: Mask not implemented in the vulkan renderer!
[05:09:36.481] |I| [renderer::vulkan::PipelineCache::retrieve_shader]: Generating vulkan spv shader 70cb29fcacc329e4001c930d822c499cc537820615d4d398dd6ae2be61452ec2
[05:09:36.482] |I| [renderer::load_shader_generic]: Generating vert.spv.txt shader 70cb29fcacc329e4001c930d822c499cc537820615d4d398dd6ae2be61452ec2
[05:09:36.483] |W| [stubbed_impl]: Stubbed sceNpGetServiceState import called. (Stub)
[05:09:36.484] |D| [shader::create_parameters]: [BUFFER0  + 0] pa0 = (float4) v_vertex
[05:09:36.484] |D| [shader::create_parameters]: [BUFFER0  + 4] pa4 = (float4) v_texcoord
[05:09:36.485] |D| [shader::create_parameters]: [DEFAULT  + 0] sa0 = (float4) glstate_matrix_mvp[4]
[05:09:36.485] |D| [shader::create_parameters]: [DEFAULT  + 16] sa16 = (float4) glstate_matrix_texture0[4]
[05:09:36.496] |I| [renderer::vulkan::PipelineCache::retrieve_shader]: Generating vulkan spv shader 75eeddf754f92753e82181513ad6f2564993e907a79279727bf0bcfef1e1ddb7
[05:09:36.497] |I| [renderer::load_shader_generic]: Generating frag.spv.txt shader 75eeddf754f92753e82181513ad6f2564993e907a79279727bf0bcfef1e1ddb7
[05:09:36.499] |D| [shader::create_parameters]: [DEFAULT  + 0] sa0 = (float4) _Color
[05:09:36.517] |C| [renderer::vulkan::PipelineCache::retrieve_shader]: Mask not implemented in the vulkan renderer!
[05:09:36.517] |C| [renderer::vulkan::PipelineCache::retrieve_shader]: Mask not implemented in the vulkan renderer!
[05:09:36.570] |E| [stat_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/sharedassets1.assets.resG (target path: app0:/Media/sharedassets1.assets.resG)
[05:09:36.570] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:36.571] |E| [stat_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/sharedassets1.assets.res (target path: app0:/Media/sharedassets1.assets.res)
[05:09:36.572] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:36.573] |E| [stat_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/sharedassets1.assets.resS (target path: app0:/Media/sharedassets1.assets.resS)
[05:09:36.574] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:36.581] |E| [stat_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/level0.resG (target path: app0:/Media/level0.resG)
[05:09:36.582] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:36.583] |E| [stat_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/level0.res (target path: app0:/Media/level0.res)
[05:09:36.584] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:36.584] |E| [stat_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/level0.resS (target path: app0:/Media/level0.resS)
[05:09:36.585] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:36.897] |E| [stat_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/sharedassets2.assets.resG (target path: app0:/Media/sharedassets2.assets.resG)
[05:09:36.898] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:36.899] |E| [stat_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/sharedassets2.assets.res (target path: app0:/Media/sharedassets2.assets.res)
[05:09:36.900] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:36.905] |E| [stat_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/level1.resG (target path: app0:/Media/level1.resG)
[05:09:36.908] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:36.909] |E| [stat_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/level1.res (target path: app0:/Media/level1.res)
[05:09:36.910] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:36.911] |E| [stat_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/level1.resS (target path: app0:/Media/level1.resS)
[05:09:36.911] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:36.991] |I| [renderer::vulkan::PipelineCache::retrieve_shader]: Generating vulkan spv shader 5909456b40a8b6a3f25debb953263df1948a06a2a948cb8e08801984038b3972
[05:09:36.992] |I| [renderer::load_shader_generic]: Generating vert.spv.txt shader 5909456b40a8b6a3f25debb953263df1948a06a2a948cb8e08801984038b3972
[05:09:36.992] |I| [ngs::player::Module::process]: The currently running game requests playback rate scaling when decoding audio. Audio might crackle.
[05:09:36.994] |D| [shader::create_parameters]: [BUFFER0  + 0] pa0 = (float4) v_vertex
[05:09:36.995] |D| [shader::create_parameters]: [BUFFER0  + 4] pa4 = (float4) v_texcoord
[05:09:36.995] |D| [shader::create_parameters]: [BUFFER0  + 8] pa8 = (float4) v_color
[05:09:36.996] |D| [shader::create_parameters]: [DEFAULT  + 0] sa0 = (float4) glstate_matrix_mvp[4]
[05:09:36.996] |D| [shader::create_parameters]: [DEFAULT  + 16] sa16 = (float4) _Color
[05:09:37.009] |I| [renderer::vulkan::PipelineCache::retrieve_shader]: Generating vulkan spv shader 3e030c61b8c58b600b476d07ca5b1ce879864ece345c8505929eab949debe2b3
[05:09:37.010] |I| [renderer::load_shader_generic]: Generating frag.spv.txt shader 3e030c61b8c58b600b476d07ca5b1ce879864ece345c8505929eab949debe2b3
[05:09:37.011] |D| [shader::create_fragment_inputs]: Iterator: pa0 = (half4) v_Color0
[05:09:37.891] |I| [export_sceIoOpen]: Opening file: app0:/Media/sharedassets2.assets.resS
[05:09:37.928] |I| [export_sceIoOpen]: Opening file: app0:/Media/sharedassets2.assets.resS
[05:09:37.937] |I| [export_sceIoOpen]: Opening file: app0:/Media/sharedassets2.assets.resS
[05:09:37.962] |I| [export_sceIoOpen]: Opening file: app0:/Media/sharedassets2.assets.resS
[05:09:37.969] |I| [export_sceIoOpen]: Opening file: app0:/Media/sharedassets2.assets.resS
[05:09:37.971] |I| [export_sceIoOpen]: Opening file: app0:/Media/sharedassets2.assets.resS
[05:09:37.987] |I| [export_sceIoOpen]: Opening file: app0:/Media/sharedassets2.assets.resS
[05:09:37.996] |I| [export_sceIoOpen]: Opening file: app0:/Media/sharedassets2.assets.resS
[05:09:38.016] |I| [export_sceIoOpen]: Opening file: app0:/Media/sharedassets2.assets.resS
[05:09:38.018] |I| [export_sceIoOpen]: Opening file: app0:/Media/sharedassets2.assets.resS
[05:09:38.021] |I| [export_sceIoOpen]: Opening file: app0:/Media/sharedassets2.assets.resS
[05:09:38.022] |I| [export_sceIoOpen]: Opening file: app0:/Media/sharedassets2.assets.resS
[05:09:38.025] |I| [export_sceIoOpen]: Opening file: app0:/Media/sharedassets2.assets.resS
[05:09:38.029] |I| [export_sceIoOpen]: Opening file: app0:/Media/sharedassets2.assets.resS
[05:09:38.035] |I| [export_sceIoOpen]: Opening file: app0:/Media/sharedassets2.assets.resS
[05:09:38.054] |I| [export_sceIoOpen]: Opening file: app0:/Media/sharedassets2.assets.resS
[05:09:38.070] |I| [export_sceIoOpen]: Opening file: app0:/Media/sharedassets2.assets.resS
[05:09:38.078] |I| [export_sceIoOpen]: Opening file: app0:/Media/sharedassets2.assets.resS
[05:09:38.097] |I| [export_sceIoOpen]: Opening file: app0:/Media/sharedassets2.assets.resS
[05:09:38.100] |I| [export_sceIoOpen]: Opening file: app0:/Media/sharedassets2.assets.resS
[05:09:38.103] |I| [export_sceIoOpen]: Opening file: app0:/Media/sharedassets2.assets.resS
[05:09:38.123] |I| [export_sceIoOpen]: Opening file: app0:/Media/sharedassets2.assets.resS
[05:09:38.139] |I| [export_sceIoOpen]: Opening file: app0:/Media/sharedassets2.assets.resS
[05:09:38.159] |I| [export_sceIoOpen]: Opening file: app0:/Media/sharedassets2.assets.resS
[05:09:38.169] |I| [export_sceIoOpen]: Opening file: app0:/Media/sharedassets2.assets.resS
[05:09:38.180] |I| [export_sceIoOpen]: Opening file: app0:/Media/sharedassets2.assets.resS
[05:09:38.183] |I| [export_sceIoOpen]: Opening file: app0:/Media/sharedassets2.assets.resS
[05:09:38.229] |I| [export_sceIoOpen]: Opening file: app0:/Media/sharedassets2.assets.resS
[05:09:38.240] |I| [export_sceIoOpen]: Opening file: app0:/Media/sharedassets2.assets.resS
[05:09:38.241] |I| [export_sceIoOpen]: Opening file: app0:/Media/sharedassets2.assets.resS
[05:09:38.252] |I| [export_sceIoOpen]: Opening file: app0:/Media/sharedassets2.assets.resS
[05:09:38.257] |I| [export_sceIoOpen]: Opening file: app0:/Media/sharedassets2.assets.resS
[05:09:38.259] |I| [export_sceIoOpen]: Opening file: app0:/Media/sharedassets2.assets.resS
[05:09:38.278] |I| [export_sceIoOpen]: Opening file: app0:/Media/sharedassets2.assets.resS
[05:09:38.287] |I| [export_sceIoOpen]: Opening file: app0:/Media/sharedassets2.assets.resS
[05:09:38.305] |I| [export_sceIoOpen]: Opening file: app0:/Media/sharedassets2.assets.resS
[05:09:38.313] |I| [export_sceIoOpen]: Opening file: app0:/Media/sharedassets2.assets.resS
[05:09:38.330] |I| [export_sceIoOpen]: Opening file: app0:/Media/sharedassets2.assets.resS
[05:09:38.333] |I| [export_sceIoOpen]: Opening file: app0:/Media/sharedassets2.assets.resS
[05:09:38.342] |I| [export_sceIoOpen]: Opening file: app0:/Media/sharedassets2.assets.resS
[05:09:38.346] |I| [export_sceIoOpen]: Opening file: app0:/Media/sharedassets2.assets.resS
[05:09:38.364] |I| [export_sceIoOpen]: Opening file: app0:/Media/sharedassets2.assets.resS
[05:09:38.372] |I| [export_sceIoOpen]: Opening file: app0:/Media/sharedassets2.assets.resS
[05:09:38.380] |I| [export_sceIoOpen]: Opening file: app0:/Media/sharedassets2.assets.resS
[05:09:38.392] |I| [export_sceIoOpen]: Opening file: app0:/Media/sharedassets2.assets.resS
[05:09:38.417] |I| [export_sceIoOpen]: Opening file: app0:/Media/sharedassets2.assets.resS
[05:09:38.421] |I| [export_sceIoOpen]: Opening file: app0:/Media/sharedassets2.assets.resS
[05:09:38.424] |I| [export_sceIoOpen]: Opening file: app0:/Media/sharedassets2.assets.resS
[05:09:38.433] |I| [export_sceIoOpen]: Opening file: app0:/Media/sharedassets2.assets.resS
[05:09:38.441] |I| [export_sceIoOpen]: Opening file: app0:/Media/sharedassets2.assets.resS
[05:09:39.090] |E| [stat_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Resources/unity_builtin_extra.resG (target path: app0:/Media/Resources/unity_builtin_extra.resG)
[05:09:39.090] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:39.092] |E| [stat_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Resources/unity_builtin_extra.res (target path: app0:/Media/Resources/unity_builtin_extra.res)
[05:09:39.092] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:39.093] |E| [stat_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Resources/unity_builtin_extra.resS (target path: app0:/Media/Resources/unity_builtin_extra.resS)
[05:09:39.094] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:39.198] |W| [unimplemented_impl]: Unimplemented sceGxmShaderPatcherForceUnregisterProgram import called.
[05:09:39.554] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/mono/gac/policy.2.0.System.Core/0.0.0.0__7cec85d7bea7798e/policy.2.0.System.Core.dll
[05:09:39.555] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/mono/gac/policy.2.0.System.Core/0.0.0.0__7cec85d7bea7798e/policy.2.0.System.Core.dll (target path: app0:Media/Managed/mono/gac/policy.2.0.System.Core/0.0.0.0__7cec85d7bea7798e/policy.2.0.System.Core.dll)
[05:09:39.556] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:39.557] |E| [stat_file]: Cannot find device for path: app0/System.Core.dll
[05:09:39.557] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:39.558] |E| [stat_file]: Cannot find device for path: app0/System.Core.exe
[05:09:39.558] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:39.559] |E| [stat_file]: Cannot find device for path: app0/System.Core/System.Core.dll
[05:09:39.560] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:39.560] |E| [stat_file]: Cannot find device for path: app0/System.Core/System.Core.exe
[05:09:39.561] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:39.561] |E| [stat_file]: Cannot find device for path: Media/Managed/System.Core.dll
[05:09:39.562] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:39.563] |E| [stat_file]: Cannot find device for path: Media/Managed/System.Core.exe
[05:09:39.563] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:39.564] |E| [stat_file]: Cannot find device for path: Media/Managed/System.Core/System.Core.dll
[05:09:39.565] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:39.568] |E| [stat_file]: Cannot find device for path: Media/Managed/System.Core/System.Core.exe
[05:09:39.569] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:39.570] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/mono/gac/System.Core/2.0.5.0__7cec85d7bea7798e/System.Core.dll
[05:09:39.571] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/mono/gac/System.Core/2.0.5.0__7cec85d7bea7798e/System.Core.dll (target path: app0:Media/Managed/mono/gac/System.Core/2.0.5.0__7cec85d7bea7798e/System.Core.dll)
[05:09:39.571] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:39.572] |I| [export_sceIoOpen]: Opening file: app0:/Media/Managed/System.Core.dll
[05:09:39.573] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/System.Core.dll.config
[05:09:39.577] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/System.Core.dll.config (target path: app0:Media/Managed/System.Core.dll.config)
[05:09:39.578] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:39.578] |I| [export_sceIoOpen]: Opening file: app0:Media/Managed/mono/assemblies/System.Core/System.Core.config
[05:09:39.579] |E| [open_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/Managed/mono/assemblies/System.Core/System.Core.config (target path: app0:Media/Managed/mono/assemblies/System.Core/System.Core.config)
[05:09:39.580] |W| [io_error_impl]: open_file (sceIoOpen) returned 0x80010002
[05:09:39.706] |E| [stat_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/sharedassets3.assets.resG (target path: app0:/Media/sharedassets3.assets.resG)
[05:09:39.707] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:39.708] |E| [stat_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/sharedassets3.assets.res (target path: app0:/Media/sharedassets3.assets.res)
[05:09:39.708] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:39.709] |E| [stat_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/sharedassets3.assets.resS (target path: app0:/Media/sharedassets3.assets.resS)
[05:09:39.710] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:39.711] |E| [stat_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/level2.resG (target path: app0:/Media/level2.resG)
[05:09:39.712] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:39.713] |E| [stat_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/level2.res (target path: app0:/Media/level2.res)
[05:09:39.714] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:39.714] |E| [stat_file]: Missing file at D:/Emulateurs/Vita3K/psvita/ux0/app/PCSB00530/Media/level2.resS (target path: app0:/Media/level2.resS)
[05:09:39.715] |W| [io_error_impl]: stat_file (_sceIoGetstat) returned 0x80010002
[05:09:39.876] |E| [call_import]: Import function for NID 0xF9C0F5DA not found (thread name: Unity_main_thread, thread ID: 62)
[05:09:50.367] |I| [export_sceIoOpen]: Opening file: savedata0:data0000.bin
[05:09:50.423] |E| [logging::ret_error_impl]: sceSaveDataDialogTerm returned SCE_COMMON_DIALOG_ERROR_NOT_IN_USE (0x80020411)
[05:09:50.592] |I| [renderer::vulkan::PipelineCache::retrieve_shader]: Generating vulkan spv shader e189b5886c1b688c962f0dffc713dab7eb03da868883413a5e29faeab5323f92
[05:09:50.593] |I| [renderer::load_shader_generic]: Generating vert.spv.txt shader e189b5886c1b688c962f0dffc713dab7eb03da868883413a5e29faeab5323f92
